,appid,genre
0,570,"['action', 'actionrpg', 'charactercustomization', 'coop', 'competitive', 'difficult', 'fantasy', 'freetoplay', 'moba', 'multiplayer', 'onlinecoop', 'pvp', 'rpg', 'rts', 'replayvalue', 'simulation', 'strategy', 'teambased', 'towerdefense', 'esports']"
1,730,"['action', 'coop', 'competitive', 'difficult', 'fps', 'fastpaced', 'firstperson', 'freetoplay', 'military', 'moddable', 'multiplayer', 'onlinecoop', 'pvp', 'realistic', 'shooter', 'strategy', 'tactical', 'teambased', 'trading', 'war', 'esports']"
2,1172470,"['action', 'adventure', 'battleroyale', 'charactercustomization', 'cinematic', 'coop', 'cyberpunk', 'fps', 'firstperson', 'freetoplay', 'funny', 'heroshooter', 'loot', 'lorerich', 'multiplayer', 'pvp', 'scifi', 'shooter', 'survival', 'tactical', 'teambased']"
3,1085660,"['action', 'adventure', 'atmospheric', 'coop', 'competitive', 'fps', 'firstperson', 'freetoplay', 'loot', 'lootershooter', 'lorerich', 'mmorpg', 'massivelymultiplayer', 'multiplayer', 'openworld', 'pve', 'pvp', 'scifi', 'shooter', 'space']"
4,1174180,"['action', 'adventure', 'atmospheric', 'beautiful', 'fps', 'firstperson', 'gore', 'greatsoundtrack', 'horses', 'mature', 'multiplayer', 'openworld', 'realistic', 'sandbox', 'shooter', 'singleplayer', 'storyrich', 'thirdperson', 'thirdpersonshooter', 'western']"
5,1203220,"['action', 'adventure', 'anime', 'battleroyale', 'charactercustomization', 'femaleprotagonist', 'fighting', 'gore', 'hackandslash', 'martialarts', 'massivelymultiplayer', 'multiplayer', 'nudity', 'parkour', 'pvp', 'sexualcontent', 'survival', 'swordplay', 'thirdperson', 'violent']"
6,381210,"['action', 'atmospheric', 'blood', 'coop', 'comedy', 'difficult', 'firstperson', 'gore', 'horror', 'mature', 'multiplayer', 'onlinecoop', 'psychologicalhorror', 'stealth', 'strategy', 'survival', 'survivalhorror', 'teambased', 'thirdperson', 'violent']"
7,1817070,"['action', 'actionadventure', 'adventure', 'atmospheric', 'beautiful', 'casual', 'combat', 'comicbook', 'exploration', 'funny', 'greatsoundtrack', 'openworld', 'parkour', 'rpg', 'scifi', 'singleplayer', 'stealth', 'storyrich', 'superhero', 'thirdperson']"
8,39210,"['action', 'actionrpg', 'adventure', 'anime', 'atmospheric', 'charactercustomization', 'coop', 'fantasy', 'femaleprotagonist', 'greatsoundtrack', 'jrpg', 'mmorpg', 'magic', 'massivelymultiplayer', 'multiplayer', 'onlinecoop', 'openworld', 'rpg', 'singleplayer', 'storyrich']"
9,578080,"['action', 'adventure', 'battleroyale', 'coop', 'competitive', 'difficult', 'earlyaccess', 'fps', 'firstperson', 'freetoplay', 'massivelymultiplayer', 'multiplayer', 'onlinecoop', 'pvp', 'shooter', 'simulation', 'stealth', 'strategy', 'survival', 'tactical', 'teambased', 'thirdperson', 'thirdpersonshooter']"
10,359550,"['action', 'atmospheric', 'casual', 'coop', 'competitive', 'destruction', 'fps', 'firstperson', 'heroshooter', 'massivelymultiplayer', 'multiplayer', 'onlinecoop', 'physics', 'realistic', 'shooter', 'simulation', 'singleplayer', 'strategy', 'tactical', 'teambased']"
11,824550,"['action', 'actionrpg', 'alternatehistory', 'animation&modeling', 'anime', ""beat'emup"", 'coop', 'combat', 'hackandslash', 'lorerich', 'mechs', 'multiplayer', 'onlinecoop', 'pve', 'rpg', 'robots', 'scifi', 'singleplayer', 'space', 'thirdperson']"
12,1692250,"['automobilesim', 'coop', 'controller', 'driving', 'immersivesim', 'multiplayer', 'onlinecoop', 'pvp', 'racing', 'realistic', 'simulation', 'singleplayer', 'sports', 'vr']"
